"Abrev";"Poblacion";"Ingresos";"Analf";"Esp.Vida";"Homicidio";"Sec.Grad";"Heladas";"Area";"Division"
"Massachusetts";"MA";0,291493537121865;0,442036907796225;-0,928292834336835;0,745911591169712;-1,15799500277266;0,641868827828487;-0,0182890750124267;-0,704868925693996;"Nueva Inglaterra"
"Michigan";"MI";0,983154015318689;0,435411746752225;2,95024240872233;-0,216073865075161;1,05128556565709;-0,0761688248450059;0,414247549031463;-0,170703630337991;"Noreste Central"
"Missouri";"MO";0,0718488538728275;-0,387764512964847;-0,605081564081905;-0,167974592262916;0,541451588327149;-0,580054896896579;0,0800147031793665;-0,0379228141300056;"Noroeste Central"
"Montana";"MT";-0,771695817898308;-0,233729518691834;-0,928292834336835;-0,272189683356107;-0,676485135294383;0,730048890437512;1,00407021818222;0,797185436403911;"Montania"
"Nebraska";"NE";-0,604287549290159;0,0329332133291893;0,526157881810352;1,36318559226017;-1,27129144217932;0,742646042238801;0,689498127968485;0,0437213599351444;"Noroeste Central"
"Nevada";"NV";-0,804422246348021;1,09461527063028;-1,0898984694643;-1,49872114006832;1,16458200506375;1,48587799851487;1,65287515424806;0,407958176016929;"Montania"
"New Hampshire";"NH";-0,757850021246506;-0,343044675917844;-0,443475928954439;0,264918863047281;-1,15799500277266;0,528494461616883;1,37762457531104;-0,691774020104754;"Nueva Inglaterra"
"New Jersey";"NJ";0,61015664491106;1,24036881359829;-0,928292834336835;0,0244224989860657;-0,619836915591055;-0,113960280248874;0,217639992647877;-0,708194442933562;"Atlantico Central"
"New Mexico";"NM";-0,688201468391988;-1,46932205339794;1,65739732770261;-0,464586774605088;0,654748027733803;0,226162818385939;0,31594377083967;0,533597307661256;"Montania"
"New York";"NY";2,86387472718843;0,687167866424247;0,364552246682886;-0,280206228824818;0,994637345953766;-0,0887659766462945;-0,431164943417958;-0,268681000550256;"Atlantico Central"
"North Carolina";"NC";0,213243807559409;-1,0154985218839;1,01097478719275;-1,35442332163159;1,05128556565709;-1,87756153242938;-0,470486454694675;-0,25813747540055;"Atlantico Sur"
"North Dakota";"ND";-0,794562360853556;0,991925274448273;-0,605081564081905;1,5074834106969;-1,69615308995427;-0,391097619877239;1,61355364297134;-0,0348916869411552;"Noroeste Central"
"Ohio";"OH";1,32384452687211;0,120716597162197;-0,605081564081905;-0,0637595011697251;0,00329350114554228;-0,0257802176398478;0,394586793393105;-0,343434266761616;"Noreste Central"
"Oklahoma";"OK";-0,358629551119555;-0,836619173695887;-0,120264658699509;0,417233226952717;-0,279947597371093;-0,227334646460477;-0,431164943417958;-0,040245224530096;"Sudoeste Central"
"Oregon";"OR";-0,449046798951775;0,284689333001211;-0,928292834336835;0,986407955230928;-0,903078014107691;0,830826104847827;-1,17827365767559;0,258527966940689;"Pacifico"
"Pennsylvania";"PA";1,55985242434601;-0,0647879120698192;-0,281870293826974;-0,376404774449297;-0,364919926926084;-0,403694771678528;0,433908304669822;-0,299919055931753;"Atlantico Central"
"Rhode Island";"RI";-0,732885630313712;0,115747726379197;0,202946611555421;0,802027409450669;-1,41291199143763;-0,882386540127523;0,453569060308181;-0,778760828423633;"Nueva Inglaterra"
"South Carolina";"SC";-0,337441286546343;-1,41300818452394;1,81900296283007;-2,35649150522;1,19290611491541;-1,96574159503841;-0,765397789270055;-0,460645120287306;"Atlantico Sur"
"South Dakota";"SD";-0,785331829752355;-0,53186176567186;-1,0898984694643;0,946325227887394;-1,61118076039928;-0,0131830658385592;1,33830306403432;0,037964398943371;"Noroeste Central"
"Texas";"TX";1,63894129309948;-0,497079670190857;1,65739732770261;0,000372862579942978;1,36285077402539;-0,75641502211463;-1,35522045842081;2,06793644532098;"Sudoeste Central"
"Utah";"UT";-0,675824165324468;-0,772023853516881;-0,928292834336835;1,60368195632139;-0,8181056845527;1,75041818634195;0,650176616691767;0,104921780478372;"Montania"
"Vermont";"VT";-0,82917685248306;-0,962497233531898;-0,928292834336835;0,593597227264276;-0,534864586036065;0,465508702610436;1,25966004148089;-0,689157219653947;"Nueva Inglaterra"
"Virginia";"VA";0,116742800592306;0,352597233702217;0,364552246682886;-0,656983865854058;0,598099808030476;-0,706026414909473;-0,372182676502882;-0,356463752339588;"Atlantico Sur"
"Washington";"WA";-0,181571181814696;0,622572546245241;-0,928292834336835;0,657729591013933;-0,874753904256027;1,27172641789295;-1,41420272533589;-0,0643634020183587;"Pacifico"
"West Virginia";"WV";-0,550792425862743;-1,44282140922194;0,364552246682886;-1,13797659397649;-0,194975267816102;-1,48704982658941;-0,0772713419275026;-0,52775514851527;"Atlantico Sur"
